Id,Label,Popularity
Ahmed Ramzy,Ahmed Ramzy,3.346
Amr Abdel-Geleel,Amr Abdel-Geleel,0.5
Emy Samir Ghanim,Emy Samir Ghanim,0.5
Ahmed Salah Hosny,Ahmed Salah Hosny,2.38
Mona Shaddad,Mona Shaddad,0.6
Hussein Fahmy,Hussein Fahmy,4.137
Ramez Galal,Ramez Galal,1.618
Huda Sultan,Huda Sultan,1.422
Fify El Sebaay,Fify El Sebaay,0.5
Alaa Seif,Alaa Seif,0.5
