Id,Label,Popularity
Rakesh Varre,Rakesh Varre,1.217
Gautam Sarkar,Gautam Sarkar,0.5
Priyanka Sharma,Priyanka Sharma,2.306
Vikram Kapadia,Vikram Kapadia,1.436
Priya,Priya,0.656
Shakti Singh,Shakti Singh,1.108
Isha Talwar,Isha Talwar,11.918
Angad Bedi,Angad Bedi,3.842
Michael Keaton,Michael Keaton,45.901
Vishwaksen Naidu,Vishwaksen Naidu,6.248
Anuj Choudhry,Anuj Choudhry,0.6
Rahul,Rahul,0.6
Arsh Bajwa,Arsh Bajwa,0.5
Sudipto Chattopadhyay,Sudipto Chattopadhyay,0.6
Imran Khan,Imran Khan,7.104
Raj Premi,Raj Premi,2.391
Sreejith Ravi,Sreejith Ravi,2.51
Daniel Weber,Daniel Weber,0.6
Priyesh Kaushik,Priyesh Kaushik,0.6
Raghu Ram,Raghu Ram,2.26
Ruhi Singh,Ruhi Singh,4.15
Nishanti,Nishanti,0.694
Chandini Chowdary,Chandini Chowdary,3.443
Pavleen Gujral,Pavleen Gujral,0.84
Abhinav Sharma,Abhinav Sharma,1.22
Laila,Laila,6.491
Dilawar Sidhu,Dilawar Sidhu,1.834
Achyuth Kumar,Achyuth Kumar,4.046
Cole Howard,Cole Howard,3.864
Shafin Patel,Shafin Patel,0.828
Sandeep Dhabale,Sandeep Dhabale,0.84
Neha Dhupia,Neha Dhupia,7.152
Sally Field,Sally Field,18.152
Lucky Ali,Lucky Ali,1.96
Rachel Saanchita Gupta,Rachel Saanchita Gupta,0.5
Atul Kale,Atul Kale,2.755
Krishna Hebbale,Krishna Hebbale,2.563
A.R. Rahman,A.R. Rahman,6.106
Anuskha Sharma,Anuskha Sharma,0.5
Pooja Ruparel,Pooja Ruparel,8.464
Kristy Banerjee,Kristy Banerjee,0.6
Raj Babbar,Raj Babbar,5.138
Vir Das,Vir Das,7.427
Destina Mawrie,Destina Mawrie,0.5
Sakshi Shivanand,Sakshi Shivanand,2.065
Aman Sutdhar,Aman Sutdhar,0.968
Ambika Mohan,Ambika Mohan,1.142
Kannada Kishore,Kannada Kishore,6.238
Rakhi Sawant,Rakhi Sawant,6.291
Gautam Karthik,Gautam Karthik,5.86
Chutki,Chutki,0.5
Freddy Daruwala,Freddy Daruwala,4.659
Churni Ganguly,Churni Ganguly,4.332
Hetvi Bhanushali,Hetvi Bhanushali,0.5
Satyadev Dubey,Satyadev Dubey,1.321
Swati Chitnis,Swati Chitnis,0.6
Deepti Lele,Deepti Lele,0.6
Siddhant Kapoor,Siddhant Kapoor,0.5
Sathish,Sathish,7.333
Rohn Malhotra,Rohn Malhotra,0.5
Rushita Pandya,Rushita Pandya,0.6
Pushkar Jog,Pushkar Jog,0.98
Inaamulhaq,Inaamulhaq,2.744
Tanushree Kaushal,Tanushree Kaushal,0.6
Trisha Kale,Trisha Kale,0.6
Antony,Antony,0.6
Shama Sikander,Shama Sikander,2.018
Viji Chandrasekhar,Viji Chandrasekhar,7.322
Anupam Shyam,Anupam Shyam,1.876
Kangana Ranaut,Kangana Ranaut,10.429
Deepak Chachra,Deepak Chachra,0.5
Dinesh,Dinesh,0.6
Haradhan Bannerjee,Haradhan Bannerjee,2.01
Aarna Sharma,Aarna Sharma,0.5
Mahmoud Babai,Mahmoud Babai,0.6
Subhrajyoti Barat,Subhrajyoti Barat,0.706
Rajendra Gupta,Rajendra Gupta,5.293
Seema Biswas,Seema Biswas,5.893
Anup Soni,Anup Soni,3.351
D. Santosh,D. Santosh,2.315
Deepak Subramanya,Deepak Subramanya,0.6
Rishabh Chaddha,Rishabh Chaddha,0.5
Richard McCabe,Richard McCabe,13.332
Arfi Lamba,Arfi Lamba,1.071
Shaji John,Shaji John,3.27
Malay Chakrabarty,Malay Chakrabarty,0.6
Deepak Rai Panaje,Deepak Rai Panaje,0.6
Keshav Sadhna,Keshav Sadhna,2.776
Gaurav Dwivedi,Gaurav Dwivedi,0.6
Syna Anand,Syna Anand,0.648
Sajin Cherukayil,Sajin Cherukayil,5.364
Rajeev Ravindranathan,Rajeev Ravindranathan,1.639
Tejashree Pradhan,Tejashree Pradhan,0.6
Ashok Banthia,Ashok Banthia,1.401
Daminee Basu,Daminee Basu,0.98
Rajesh Tailang,Rajesh Tailang,10.085
Sunny Leone,Sunny Leone,0.6
Amol Deshmukh,Amol Deshmukh,1.709
Sara Ali Khan,Sara Ali Khan,5.766
Jeremy Strong,Jeremy Strong,27.058
Arunoday Singh,Arunoday Singh,2.926
Chandan Prabhakar,Chandan Prabhakar,7.05
Umang Jain,Umang Jain,3.217
A.K. Hangal,A.K. Hangal,4.465
Soubin Shahir,Soubin Shahir,5.798
Amir Bashir,Amir Bashir,0.5
Nimai Bali,Nimai Bali,1.502
Mausam,Mausam,0.75
Johnny Rose,Johnny Rose,1.094
Aria Pandya,Aria Pandya,1.38
Radha Bessy,Radha Bessy,0.6
Mahesh Kothare,Mahesh Kothare,1.898
Manimegalai,Manimegalai,0.6
Haresh Raut,Haresh Raut,0.5
Sidharth Shukla,Sidharth Shukla,1.421
Ashwin Dhar,Ashwin Dhar,0.648
Jyoti Joshi,Jyoti Joshi,0.6
Taher Shabbir,Taher Shabbir,1.096
Loveleen Mishra,Loveleen Mishra,2.091
Aneeta,Aneeta,0.694
Dhanu Gowda,Dhanu Gowda,0.5
Javed Sheikh,Javed Sheikh,8.694
Rory Fleck Byrne,Rory Fleck Byrne,9.699
Arun Kumar,Arun Kumar,0.6
Shekar Shukla,Shekar Shukla,0.6
Karan Mehra,Karan Mehra,0.725
Arijit Dutt,Arijit Dutt,0.6
Karthika Muraleedharan,Karthika Muraleedharan,1.579
Prashant Prakash,Prashant Prakash,0.6
Mehmood,Mehmood,7.223
Manish Devkush,Manish Devkush,0.5
Siddharth Menon,Siddharth Menon,4.938
Karamjit Anmol,Karamjit Anmol,1.712
Suresh Chatwal,Suresh Chatwal,2.554
Simran Kaur Mundi,Simran Kaur Mundi,8.319
Aarya DharmChand Kumar,Aarya DharmChand Kumar,0.5
Hussain Shaikh,Hussain Shaikh,0.98
Ranjeet,Ranjeet,13.199
Helly Shah,Helly Shah,2.013
Vikram Grover,Vikram Grover,0.6
Darsheel Safary,Darsheel Safary,4.476
Sonalli Sehgall,Sonalli Sehgall,0.5
Sid Mallya,Sid Mallya,0.6
Gashmeer Mahajani,Gashmeer Mahajani,3.272
Neha Pendse,Neha Pendse,5.995
Paul Blackthorne,Paul Blackthorne,14.142
Priya Bapat,Priya Bapat,2.283
Geeta Sudan,Geeta Sudan,0.6
Murari Kumar,Murari Kumar,1.391
Sayaji Shinde,Sayaji Shinde,6.605
Shenaz Treasury,Shenaz Treasury,3.45
Amit Varma,Amit Varma,1.38
Siddharth Kher,Siddharth Kher,0.6
Anil Gawas,Anil Gawas,1.011
Prasad Barve,Prasad Barve,0.98
Suhas Joshi,Suhas Joshi,1.656
Pari Telang,Pari Telang,0.5
